parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate	priorType	priorParameters	hierarchicalOptimization (optional)
Epo_degradation_BaF3	EPO_{degradation,BaF3}	log10	-5	5	-1.5689175884	1			
k_exp_hetero	k_{exp,hetero}	log10	-5	5	-4.9997048936	1			
k_exp_homo	k_{exp,homo}	log10	-5	5	-2.2096987817	1			
k_imp_hetero	k_{imp,hetero}	log10	-5	5	-1.7860065475	1			
k_imp_homo	k_{imp,homo}	log10	-5	5	4.9901140088	1			
k_phos	k_{phos}	log10	-5	5	4.1977354885	1			
ratio	ratio	lin	-5	5	0.693	0			
sd_pSTAT5A_rel	\sigma_{pSTAT5A,rel}	log10	-5	5	0.5857552706	1			
sd_pSTAT5B_rel	\sigma_{pSTAT5B,rel}	log10	-5	5	0.8189828192	1			
sd_rSTAT5A_rel	\sigma_{rSTAT5A,rel}	log10	-5	5	0.498684404	1			
specC17	specC17	lin	-5	5	0.107	0			
